regiao,area,quartos,banheiros,garagens,condominio,aluguel
sobradinho,55,2,2,,,900
sobradinho,96,2,1,1,500,2300
sobradinho,114,3,2,,,1300
sobradinho,65,2,1,,,1200
sobradinho,30,1,1,,50,750
sobradinho,65,2,,,100,1100
sobradinho,69,2,1,1,370,1100
sobradinho,54,2,1,,285,1500
sobradinho,30,1,1,,170,950
sobradinho,32,1,1,,180,700
sobradinho,60,2,1,,98,1100
sobradinho,69,2,1,1,370,1100
sobradinho,50,1,1,,,1100
sobradinho,45,2,1,,,800
sobradinho,35,1,1,,250,950
sobradinho,60,2,1,,175,1360
sobradinho,70,2,1,,120,900
sobradinho,75,2,,1,345,1500
sobradinho,50,1,1,1,,1100
sobradinho,82,3,2,1,464,1500
sobradinho,30,1,1,,30,600
sobradinho,62,2,1,,120,1100
sobradinho,45,1,1,,,1300
sobradinho,62,2,1,,300,1200
sobradinho,35,1,1,,150,550
sobradinho,65,2,1,,,1200
sobradinho,30,1,1,,170,950
sobradinho,50,2,1,1,80,850
sobradinho,72,2,1,,,1600
sobradinho,60,2,,,96,1000
sobradinho,30,1,1,,50,700
sobradinho,30,1,1,,50,750
sobradinho,60,2,1,1,180,1250
sobradinho,60,2,1,1,315,1100
sobradinho,96,2,1,1,500,2300
sobradinho,45,1,1,1,150,730
sobradinho,30,1,1,,165,650
sobradinho,69,2,1,1,240,1250
sobradinho,82,2,2,1,,1500
sobradinho,50,2,1,,170,1200
sobradinho,117,3,2,,,1600
sobradinho,54,2,1,,285,1500
sobradinho,80,3,2,1,690,2800
sobradinho,40,1,1,,,750
sobradinho,55,2,1,1,300,1300
sobradinho,65,3,1,,100,1100
sobradinho,88,2,1,1,250,1250
sobradinho,38,1,1,,190,790
sobradinho,40,1,1,,,750
sobradinho,87,2,2,1,,1500
sobradinho,,2,1,,,700
sobradinho,27,1,1,,230,600
sobradinho,60,2,,1,100,650
sobradinho,,2,1,,,700
sobradinho,60,3,2,,,950
sobradinho,,2,1,1,270,1200
sobradinho,45,1,1,1,150,730
sobradinho,44,1,1,,150,780
sobradinho,70,2,1,1,,1800
sobradinho,60,1,,,150,850
sobradinho,50,1,1,,,1100
sobradinho,60,2,1,,200,1200
sobradinho,40,1,1,,,750
sobradinho,65,2,1,,100,1000
sobradinho,27,1,1,,230,600
sobradinho,100,2,1,,,1800
sobradinho,68,2,1,,,1200
sobradinho,87,2,2,1,,1500
sobradinho,55,2,1,1,300,1300
sobradinho,60,2,,,96,1000
sobradinho,50,2,1,1,100,650
sobradinho,30,1,1,,30,600
sobradinho,35,1,1,,250,950
sobradinho,52,2,1,,250,1150
sobradinho,30,1,1,,165,650
sobradinho,48,2,2,,,750
sobradinho,80,2,2,,340,1100
sobradinho,50,2,1,1,80,850
sobradinho,40,1,1,,,850
sudoeste,24,1,1,1,372,1250
sudoeste,260,4,5,3,3600,15000
sudoeste,30,1,1,1,546,1390
sudoeste,215,4,5,2,,8700
sudoeste,266,4,6,4,2560,16000
sudoeste,28,1,1,,364,1200
sudoeste,75,1,2,1,821,3300
sudoeste,37,1,1,2,542,900
sudoeste,143,4,3,2,1230,7500
sudoeste,133,2,2,1,753,2900
sudoeste,92,3,3,1,,3750
sudoeste,39,,1,,309,1250
sudoeste,90,3,3,1,1312,3500
sudoeste,27,1,1,1,450,1300
sudoeste,100,3,2,1,605,5200
sudoeste,180,4,4,3,1490,8900
sudoeste,75,2,1,,650,2800
sudoeste,270,4,6,3,2900,16500
sudoeste,36,1,1,1,451,1000
sudoeste,45,1,1,,274,2100
sudoeste,85,2,2,2,655,4500
sudoeste,39,1,1,1,329,1200
sudoeste,270,4,5,3,3500,15000
sudoeste,35,1,1,1,284,1400
sudoeste,50,1,1,,318,1300
sudoeste,66,2,1,1,532,3500
sudoeste,25,1,1,1,425,1212
sudoeste,30,1,1,1,228,1200
sudoeste,24,1,1,1,280,1317
sudoeste,133,2,2,1,753,2900
sudoeste,25,1,1,1,245,1400
sudoeste,27,1,1,1,216,1460
sudoeste,192,4,5,2,1800,7300
sudoeste,216,3,4,2,1998,10990
sudoeste,36,1,1,1,451,1000
sudoeste,123,3,3,2,1100,4700
sudoeste,77,1,,1,572,3000
sudoeste,30,1,1,1,341,1200
sudoeste,133,2,2,1,753,2900
sudoeste,85,2,2,2,655,4500
sudoeste,27,1,1,1,315,1600
sudoeste,60,2,1,,400,1977
sudoeste,90,3,3,1,1312,3500
sudoeste,94,3,2,1,752,3800
sudoeste,70,2,2,1,675,2950
sudoeste,200,4,3,2,1827,7300
sudoeste,90,2,2,1,751,3300
sudoeste,85,2,2,,955,3200
sudoeste,60,1,1,1,582,1200
sudoeste,23,1,1,1,388,1000
sudoeste,270,4,6,3,2900,16500
sudoeste,150,3,1,1,598,3800
sudoeste,88,3,3,1,764,4200
sudoeste,39,1,1,,317,1850
sudoeste,37,1,1,2,542,900
sudoeste,84,3,1,1,679,3400
sudoeste,60,1,1,1,582,1200
sudoeste,30,1,,1,210,1100
sudoeste,30,1,1,1,297,1400
sudoeste,30,1,1,,270,950
sudoeste,50,1,1,,410,1000
sudoeste,39,,1,,309,1250
sudoeste,92,3,3,1,,3750
sudoeste,39,1,1,1,329,1200
sudoeste,257,5,4,2,2500,9500
sudoeste,50,1,1,,318,1300
sudoeste,65,2,1,,505,2050
sudoeste,39,1,1,,317,1850
sudoeste,41,1,1,,287,1300
sudoeste,60,1,1,1,582,1200
sudoeste,25,1,1,1,245,1400
sudoeste,133,2,2,1,753,2900
sudoeste,143,4,3,2,1230,7500
sudoeste,36,1,1,1,451,1000
sudoeste,210,3,4,3,,8500
sudoeste,50,2,1,1,615,2600
sudoeste,27,1,1,1,,900
sudoeste,216,3,4,2,1998,10990
sudoeste,26,1,1,1,342,1400
sudoeste,30,1,1,,300,1000
sudoeste,182,3,3,2,2000,6000
sudoeste,24,1,1,1,428,1250
sudoeste,84,2,2,1,850,4500
sudoeste,30,1,1,1,265,1100
sudoeste,,3,,2,1560,8000
sudoeste,45,1,1,,265,1000
sudoeste,30,1,1,1,385,750
sudoeste,23,1,1,1,266,1300
sudoeste,98,3,1,1,1080,4200
sudoeste,90,,3,1,1200,3500
sudoeste,26,1,1,1,325,1080
sudoeste,31,1,1,1,300,2300
sudoeste,66,1,1,1,609,1500
sudoeste,205,4,3,2,1200,8500
sudoeste,198,3,2,2,,6000
sudoeste,378,4,6,4,,15000
sudoeste,40,1,1,1,344,1400
sudoeste,60,1,1,1,,1350
sudoeste,33,1,1,,250,980
sudoeste,33,1,1,1,375,1300
sudoeste,32,1,1,,363,1100
sudoeste,40,1,1,1,300,1600
sudoeste,90,3,3,1,745,3400
sudoeste,54,2,2,,,2100
sudoeste,30,1,1,1,416,1300
sudoeste,150,3,1,1,598,3800
sudoeste,136,3,2,1,1100,6400
sudoeste,320,4,6,4,,16000
sudoeste,27,1,1,1,405,1000
sudoeste,56,1,1,1,,1800
sudoeste,25,1,1,1,265,1080
sudoeste,41,1,1,1,700,3500
sudoeste,30,1,1,1,315,1500
sudoeste,30,1,1,1,418,1800
sudoeste,25,1,1,1,304,1500
sudoeste,25,1,1,1,316,1200
sudoeste,370,4,5,4,,11500
sudoeste,34,1,1,,319,1100
sudoeste,98,3,3,1,752,3600
sudoeste,97,3,3,2,880,4100
sudoeste,88,2,1,,599,1750
sudoeste,30,1,1,1,518,1500
sudoeste,99,3,3,2,1016,6200
sudoeste,29,1,1,,329,1200
sudoeste,125,3,2,1,840,3900
sudoeste,68,2,1,1,839,2800
sudoeste,30,1,1,1,385,750
sudoeste,33,1,1,1,353,900
sudoeste,27,1,1,2,341,1100
sudoeste,36,1,1,1,452,1280
sudoeste,90,3,2,1,764,3800
sudoeste,34,1,1,,319,1100
sudoeste,98,3,3,1,752,3600
sudoeste,40,1,1,1,300,1600
sudoeste,90,,3,1,1200,3500
sudoeste,62,2,1,,475,2100
sudoeste,90,3,3,1,600,3900
sudoeste,44,1,1,,325,1130
sudoeste,38,,,1,276,1300
sudoeste,30,1,1,1,518,1500
sudoeste,150,3,1,1,598,3800
sudoeste,30,1,,1,405,1100
sudoeste,30,1,1,1,428,1350
sudoeste,125,3,2,1,840,3900
sudoeste,260,4,,3,3500,15000
sudoeste,60,2,1,,525,2150
sudoeste,378,4,6,4,,15000
sudoeste,99,3,3,2,1016,6200
sudoeste,,3,,2,1560,8000
sudoeste,40,1,1,1,376,1400
sudoeste,56,1,1,1,,1800
sudoeste,198,3,2,2,,6000
sudoeste,40,1,1,1,300,1600
sudoeste,90,3,2,1,764,3800
sudoeste,30,1,1,1,361,1700
sudoeste,30,1,1,1,390,1300
sudoeste,150,2,3,,1847,4500
sudoeste,30,1,,,318,1200
sudoeste,38,1,1,,280,1000
sudoeste,36,1,1,1,452,1280
sudoeste,61,1,1,1,294,900
sudoeste,33,1,1,1,375,1300
sudoeste,205,4,3,2,1200,8500
sudoeste,150,3,1,1,598,3800
sudoeste,45,1,1,,265,1000
sudoeste,30,1,1,1,518,1500
sudoeste,25,1,1,1,304,1500
sudoeste,40,1,1,1,344,1400
taguatinga,68,2,2,,460,1000
taguatinga,30,1,1,1,215,950
taguatinga,80,2,1,1,534,1100
taguatinga,30,1,1,,,369
taguatinga,60,2,1,,350,2000
taguatinga,65,2,1,,,1000
taguatinga,35,1,1,,30,600
taguatinga,1000000,1,1,1,160,1500
taguatinga,50,2,2,1,,1500
taguatinga,122,3,2,,245,2250
taguatinga,55,2,2,,400,900
taguatinga,50,2,1,1,359,1300
taguatinga,46,1,1,1,380,2450
taguatinga,60,2,1,,358,1100
taguatinga,8199,1,1,1,190,1500
taguatinga,40,1,1,,119,650
taguatinga,60,2,2,1,503,1300
taguatinga,36,1,1,1,299,1350
taguatinga,30,1,1,,,369
taguatinga,85,2,,,476,1400
taguatinga,79,3,2,1,430,1700
taguatinga,132,,1,,,4500
taguatinga,360,,4,,,10000
taguatinga,80,3,1,1,,1120
taguatinga,60,2,1,,350,2000
taguatinga,560,,10,,,11000
taguatinga,50,2,1,1,359,1300
taguatinga,35,1,1,,30,600
taguatinga,65,2,1,,,1000
taguatinga,250,,2,,,7500
taguatinga,80,2,1,1,534,1100
taguatinga,120,4,3,2,,2700
taguatinga,37,,1,1,259,1480
taguatinga,60,2,1,,358,1100
taguatinga,135,3,2,1,,2400
taguatinga,30,1,1,,,369
taguatinga,35,,1,,353,1500
taguatinga,340,3,3,1,,17000
taguatinga,75,,1,,200,3500
taguatinga,340,,,,,50000
taguatinga,40,1,1,,119,650
taguatinga,36,,1,,399,650
taguatinga,36,,1,,399,650
taguatinga,36,1,1,1,299,1350
taguatinga,200,,,,,4000
taguatinga,340,,,,,50000
taguatinga,450,,6,,2000,10000
taguatinga,200,,2,,,9000
taguatinga,50,,1,,,2400
taguatinga,340,3,3,1,,17000
taguatinga,1060,,,,,1100
taguatinga,200,,2,,,12000
taguatinga,921,,5,10,,15000
taguatinga,60,2,1,,,590
taguatinga,53,2,2,,,1100
taguatinga,25,,1,,115,590
taguatinga,70,,1,,,1100
taguatinga,30,1,1,1,,600
taguatinga,45,,,,,500
taguatinga,3311,,,38,,150000
taguatinga,90,3,,1,787,2300
taguatinga,290,,3,,,16000
taguatinga,29,,1,,398,1200
taguatinga,1250,6,7,20,,7200
taguatinga,40,1,1,,80,600
taguatinga,1200,,3,,,42000
taguatinga,58,2,,1,349,1650
taguatinga,450,3,3,4,,3550
taguatinga,230,,2,,,5000
taguatinga,42,,1,,520,550
taguatinga,99,,3,,1200,4500
taguatinga,30,1,1,,115,740
taguatinga,55,,1,,781,4000
taguatinga,29,,1,1,200,700
taguatinga,1260,,6,,,130000
taguatinga,160,,2,,,9500
taguatinga,530,,1,,4900,14900
taguatinga,22,,,1,,1000
taguatinga,70,2,1,,,1400
taguatinga,,,,,,900
taguatinga,50,2,,1,404,1400
taguatinga,60,2,1,1,571,1000
taguatinga,1500,,,,,80000
taguatinga,36,1,1,1,,2300
taguatinga,120,3,1,3,,1500
taguatinga,27,,1,,308,2000
taguatinga,36,1,1,,300,1400
taguatinga,161,3,2,1,,2000
taguatinga,110,,,,,1900
taguatinga,27,,1,,308,2000
taguatinga,25,1,1,,,420
taguatinga,82,,,4,,2300
taguatinga,64,,1,,,800
taguatinga,66,,2,,850,3000
taguatinga,250,,,,,3500
taguatinga,79,3,2,1,430,1700
taguatinga,43,,1,1,300,1760
taguatinga,64,2,1,1,571,1200
taguatinga,39,,1,1,273,1600
taguatinga,60,2,1,,,800
taguatinga,30,1,1,,,369
taguatinga,52,2,2,1,350,1250
taguatinga,80,2,2,3,,1150
taguatinga,32,,1,,130,750
taguatinga,24,,1,,246,900
taguatinga,290,,3,,,16000
taguatinga,350,,3,11,,30000
taguatinga,70,,1,,,1100
taguatinga,53,2,2,,,1100
taguatinga,30,1,1,1,,600
taguatinga,42,,1,,520,550
taguatinga,22,,,1,,1000
taguatinga,64,2,2,,,1200
taguatinga,60,2,1,1,571,1000
taguatinga,1200,,3,,,42000
taguatinga,60,2,1,,,800
taguatinga,90,3,,1,787,2300
taguatinga,55,,1,,781,4000
taguatinga,27,,1,,308,2000
taguatinga,1500,,,,,80000
taguatinga,32,,1,,130,750
taguatinga,36,1,1,1,,2300
taguatinga,30,,1,,1325,2100
taguatinga,58,2,,1,349,1650
taguatinga,36,1,1,,300,1400
taguatinga,100,3,2,,,1300
taguatinga,921,,5,10,,15000
taguatinga,285,,,,,8000
taguatinga,66,2,2,,163,1300
taguatinga,340,3,3,1,,17000
taguatinga,35,1,1,,,400
taguatinga,120,,2,,,2500
taguatinga,30,,1,,60,500
taguatinga,125,,2,,,3500
taguatinga,50,,1,,,3000
taguatinga,50,,,,,2000
taguatinga,150,,2,,,6500
taguatinga,40,,1,,,1400
taguatinga,30,,,,,1200
taguatinga,57,2,1,,90,950
taguatinga,90,3,1,2,,1700
taguatinga,921,,,10,,45000
taguatinga,27,,1,,,1200
taguatinga,29,,1,,30,800
taguatinga,66,1,1,,250,1100
taguatinga,74,2,2,,315,835
taguatinga,180,,,,,6000
taguatinga,40,,1,,,1650
taguatinga,200,,,1,,1300
taguatinga,40,,1,,,700
taguatinga,390,,,,,5500
taguatinga,35,,1,,270,550
taguatinga,75,,1,,,2500
taguatinga,70,2,1,1,,900
taguatinga,200,,,1,,1300
taguatinga,130,,1,,,2000
taguatinga,30,,,,,1400
taguatinga,4513,,,,,80000
taguatinga,45,,1,,60,1300
taguatinga,70,2,1,2,,1200
taguatinga,40,1,1,,,500
taguatinga,59,2,2,,333,1180
taguatinga,50,2,1,1,330,1100
taguatinga,25,,1,,288,1300
taguatinga,35,,1,,200,1000
taguatinga,40,1,1,,80,550
taguatinga,123,,2,,,2700
taguatinga,279,,4,,,6500
vicente-pires,60,2,1,1,100,1100
vicente-pires,30,1,1,,,510
vicente-pires,38,2,1,1,200,1200
vicente-pires,81,2,1,1,285,1300
vicente-pires,50,2,1,1,150,1300
vicente-pires,24,1,1,,,700
vicente-pires,35,1,1,,,510
vicente-pires,43,1,1,,170,600
vicente-pires,72,2,1,1,95,1300
vicente-pires,450,4,4,4,,5500
vicente-pires,30,1,1,,,570
vicente-pires,43,2,1,,,900
vicente-pires,30,1,1,,,650
vicente-pires,30,1,,1,50,750
vicente-pires,200,3,3,2,553,3500
vicente-pires,30,1,1,,,510
vicente-pires,45,2,1,,,600
vicente-pires,60,2,1,,,800
vicente-pires,61,2,1,,,1050
vicente-pires,25,1,1,,175,550
vicente-pires,60,3,1,,200,1100
vicente-pires,40,1,1,,,550
vicente-pires,80,3,1,1,180,1500
vicente-pires,48,2,1,,180,1100
vicente-pires,58,2,2,1,180,1500
vicente-pires,50,2,1,1,50,1300
vicente-pires,35,1,1,,,510
vicente-pires,40,1,1,1,,810
vicente-pires,40,1,1,,180,680
vicente-pires,35,1,1,1,85,500
